threshold,trades,WR,expectancy,profit_factor,precision,year
0.62,1,0.0,-1.0,0.0,0.0,2023
0.63,1,0.0,-1.0,0.0,0.0,2023
0.6400000000000001,0,,,,,2023
0.6500000000000001,0,,,,,2023
0.6600000000000001,0,,,,,2023
0.6700000000000002,0,,,,,2023
0.6800000000000002,0,,,,,2023
0.6900000000000002,0,,,,,2023
0.7000000000000002,0,,,,,2023
0.7100000000000002,0,,,,,2023
0.7200000000000002,0,,,,,2023
0.7300000000000002,0,,,,,2023
0.7400000000000002,0,,,,,2023
0.7500000000000002,0,,,,,2023
0.7600000000000002,0,,,,,2023
0.7700000000000002,0,,,,,2023
0.7800000000000002,0,,,,,2023
0.7900000000000003,0,,,,,2023
0.8000000000000003,0,,,,,2023
0.8100000000000003,0,,,,,2023
0.8200000000000003,0,,,,,2023
0.8300000000000003,0,,,,,2023
0.8400000000000003,0,,,,,2023
0.8500000000000003,0,,,,,2023
0.5,11372,41.74,-0.1651,0.717,41.74,2024
0.51,6894,42.3,-0.154,0.733,42.3,2024
0.52,3711,43.63,-0.1275,0.774,43.63,2024
0.53,2402,45.09,-0.0983,0.821,45.09,2024
0.54,1655,45.68,-0.0864,0.841,45.68,2024
0.55,1018,44.01,-0.1198,0.786,44.01,2024
0.56,553,46.47,-0.0705,0.868,46.47,2024
0.57,279,50.18,0.0036,1.007,50.18,2024
0.58,156,52.56,0.0513,1.108,52.56,2024
0.59,98,53.06,0.0612,1.13,53.06,2024
0.6,74,52.7,0.0541,1.114,52.7,2024
0.61,52,46.15,-0.0769,0.857,46.15,2024
0.62,37,56.76,0.1351,1.312,56.76,2024
0.63,30,50.0,0.0,1.0,50.0,2024
0.64,26,42.31,-0.1538,0.733,42.31,2024
0.65,19,36.84,-0.2632,0.583,36.84,2024
0.66,15,26.67,-0.4667,0.364,26.67,2024
0.67,11,36.36,-0.2727,0.571,36.36,2024
0.68,7,42.86,-0.1429,0.75,42.86,2024
0.69,5,20.0,-0.6,0.25,20.0,2024
0.7,2,0.0,-1.0,0.0,0.0,2024
0.71,1,0.0,-1.0,0.0,0.0,2024
0.72,1,0.0,-1.0,0.0,0.0,2024
0.7300000000000002,0,,,,,2024
0.7400000000000002,0,,,,,2024
0.7500000000000002,0,,,,,2024
0.7600000000000002,0,,,,,2024
0.7700000000000002,0,,,,,2024
0.7800000000000002,0,,,,,2024
0.7900000000000003,0,,,,,2024
0.8000000000000003,0,,,,,2024
0.8100000000000003,0,,,,,2024
0.8200000000000003,0,,,,,2024
0.8300000000000003,0,,,,,2024
0.8400000000000003,0,,,,,2024
0.8500000000000003,0,,,,,2024
0.5,13204,41.86,-0.1628,0.72,41.86,2025
0.51,10632,42.49,-0.1501,0.739,42.49,2025
0.52,7436,43.13,-0.1374,0.758,43.13,2025
0.53,4712,43.46,-0.1307,0.769,43.46,2025
0.54,3150,44.13,-0.1175,0.79,44.13,2025
0.55,2461,43.56,-0.1288,0.772,43.56,2025
0.56,1793,43.73,-0.1255,0.777,43.73,2025
0.57,1108,43.59,-0.1282,0.773,43.59,2025
0.58,514,43.39,-0.1323,0.766,43.39,2025
0.59,201,47.26,-0.0547,0.896,47.26,2025
0.6,62,48.39,-0.0323,0.938,48.39,2025
0.61,11,54.55,0.0909,1.2,54.55,2025
0.62,1,100.0,1.0,99.0,100.0,2025
0.6300000000000001,0,,,,,2025
0.6400000000000001,0,,,,,2025
0.6500000000000001,0,,,,,2025
0.6600000000000001,0,,,,,2025
0.6700000000000002,0,,,,,2025
0.6800000000000002,0,,,,,2025
0.6900000000000002,0,,,,,2025
0.7000000000000002,0,,,,,2025
0.7100000000000002,0,,,,,2025
0.7200000000000002,0,,,,,2025
0.7300000000000002,0,,,,,2025
0.7400000000000002,0,,,,,2025
0.7500000000000002,0,,,,,2025
0.7600000000000002,0,,,,,2025
0.7700000000000002,0,,,,,2025
0.7800000000000002,0,,,,,2025
0.7900000000000003,0,,,,,2025
0.8000000000000003,0,,,,,2025
0.8100000000000003,0,,,,,2025
0.8200000000000003,0,,,,,2025
0.8300000000000003,0,,,,,2025
0.8400000000000003,0,,,,,2025
0.8500000000000003,0,,,,,2025
