year,trades,profit,win_rate,profit_pct
2021,10,19.93,0.6,1.99
2022,27,96.39,0.6667,9.64
2023,49,3.08,0.5102,0.31
2024,37,72.56,0.5946,7.26
2025,10,-2.65,0.5,-0.26
