test_year,te_start,te_end,n_train,n_test,n_trades,threshold,WR,expectancy,AUC,precision,recall
2021,2021-01-02,2022-01-01,25057,24147,10,0.58,0.6,0.2,0.5474,0.6,0.0006
2022,2022-01-02,2023-01-01,24147,24461,27,0.6,0.6667,0.3333,0.5372,0.6667,0.0018
2023,2023-01-02,2024-01-01,24461,23492,52,0.56,0.5,0.0,0.5451,0.5,0.0028
2024,2024-01-02,2024-12-31,23492,23795,37,0.62,0.5676,0.1351,0.5498,0.5676,0.0023
2025,2025-01-01,2025-12-31,23795,24875,11,0.61,0.5455,0.0909,0.5403,0.5455,0.0006
